text,emotion
I am very happy today,happy
This is the best day of my life,happy
I am feeling joyful and excited,happy
I am smiling a lot today,happy

I feel sad and lonely,sad
I am feeling very low today,sad
I am crying and feeling depressed,sad
I feel empty and unhappy,sad

I am angry with you,angry
This situation makes me furious,angry
I am extremely irritated,angry
I lost my temper today,angry

I am scared right now,fear
I feel afraid of the dark,fear
This situation is terrifying,fear
I am feeling very nervous and scared,fear

I feel calm and relaxed,neutral
I am okay and feeling normal,neutral
Nothing special is happening today,neutral
I feel peaceful,neutral

I am surprised by the results,surprise
That was completely unexpected,surprise
I did not see that coming,surprise
I am shocked by the news,surprise

I feel disgusted by the smell,disgust
That food looks awful,disgust
I feel sick after seeing that,disgust
This is really unpleasant,disgust
i am anxious about the exam,anxious
